Setup	Class	Attack	Avg (m)	Root Motion (m)	Attack Extension (m)	Estimated Startup (ms)	Estimated Startup (frames @ 30fps)	Speed to Active (m/s)	Min (m)	Max (m)	SD	Sample Size	Notes	Frame Data
Dagger	Dagger	1h R1 1	3.139	1.878	1.261	305	10	10.29	3.128	3.154	0.003	568	Weapons: 1000000	a020_030000
Dagger	Dagger	1h R1 2	2.507	1.349	1.158	346	11	7.25	2.471	2.544	0.014	40	Weapons: 1000000	a020_030010
Dagger	Dagger	1h R1 3	2.202	1.009	1.193	334	11	6.59	2.168	2.228	0.015	40	Weapons: 1000000	a020_030020
Dagger	Dagger	1h R1 4	1.943	0.949	0.994	338	11	5.75	1.916	1.953	0.009	26	Weapons: 1000000	a020_030030
Dagger	Dagger	1h R1 5	2.2	1.004	1.196	320	10	6.87	2.123	2.264	0.022	36	Weapons: 1000000	a020_030040
Dagger	Dagger	1h R1 6	2.48	1.368	1.113	320	10	7.75	2.45	2.49	0.01	21	Weapons: 1000000	a020_030050
Dagger	Dagger	1h Running R1	4.441	3.713	0.728	430	13	10.33	4.389	4.511	0.048	18	Weapons: 1000000	a020_030200
Dagger	Dagger	1h Running R2	5.285	3.714	1.571	480	15	11.01	5.206	5.376	0.065	19	Weapons: 1000000	a020_030210
Dagger	Dagger	1h Rolling R1	3.199	1.626	1.573	212	7	15.09	3.186	3.209	0.007	58	Weapons: 1000000	a020_030300
Dagger	Dagger	1h Backstep R1	4.554				1		4.488	4.68	0.069	7	Weapons: 1000000	a020_030400
Dagger	Dagger	1h Charged R2 1	3.777	2.308	1.469	721	22	5.24	3.754	3.8	0.007	40	Weapons: 1000000	a020_030500
Dagger	Dagger	1h R2 1 Release	3.587	2.078	1.509	634	20	5.66	3.565	3.612	0.006	121	Weapons: 1000000	a020_030505
Dagger	Dagger	1h Charged R2 2	3.04	1.701	1.339	321	10	9.47	2.998	3.068	0.023	17	Weapons: 1000000	a020_030510
